Actor1Name,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
HEALTH OFFICIAL,USA,GOV,,-4.60333006856023,202003,1,https://www.swissinfo.ch/eng/bloomberg/cdc-expands-testing--more-infections-in-nyc-suburb--virus-update/45594682
HEALTH OFFICIAL,USA,GOV,,-4.60333006856023,202003,1,https://www.swissinfo.ch/eng/bloomberg/cdc-expands-testing--more-infections-in-nyc-suburb--virus-update/45594682
NOVARTIS,CHE,MNC,HLH,-2.49307479224377,202003,1,https://www.tmcnet.com/usubmit/2020/03/10/9112797.htm
HEALTH DEPARTMENT,USA,GOV,HLH,-3.44827586206896,202003,1,https://www.wdtv.com/content/news/Monongalia-County-health-officials-prepared-for-potential-Coronavirus-cases-568641951.html
HEALTH MINIST,ISR,GOV,,-1.13636363636364,202003,1,https://unitedwithisrael.org/proud-of-israel-for-valuing-health-above-wealth-in-confronting-coronavirus/
MINIST OF HEALTH,JAM,GOV,AGR,-1.96049528301887,202003,2,http://guyanachronicle.com/2020/03/10/jamaica-confirms-first-case-of-coronavirus
WORLD HEALTH ORGANIZATION,ARE,GOV,,-1.12781954887218,202003,1,https://www.arabnews.com/node/1639366/middle-east
WORLD HEALTH ORGANIZATION,SAU,GOV,,-1.12781954887218,202003,1,https://www.arabnews.com/node/1639366/middle-east
GLAXOSMITHKLINE,USA,MNC,HLH,-3.0556498657366,202003,2,https://www.prnewswire.com/news-releases/the-global-ent-disorder-treatment-market-is-expected-to-grow-by-usd-2-1-bn-during-2020-2024--progressing-at-a-cagr-of-2-during-the-forecast-period-301020500.html
MINIST FOR HEALTH,BEL,GOV,HLH,1.05263157894736,202003,1,https://www.imt.ie/news/harris-attends-second-eu-health-ministers-covid-19-emergency-meeting-10-03-2020/
MINIST FOR HEALTH,EUR,GOV,HLH,1.05263157894736,202003,1,https://www.imt.ie/news/harris-attends-second-eu-health-ministers-covid-19-emergency-meeting-10-03-2020/
SINGAPORE,SGP,GOV,LAB,-4.55528889858551,202003,2,https://www.business-standard.com/article/pti-stories/transmitted-coronavirus-cases-in-singapore-result-of-socially-irresponsible-action-minister-120031000711_1.html
